Artist,Song,SongID,Popularity,Lyrics,href,lyricurl
Oliver Tree,Miss You,73vIOb4Q7YN6HeJTbscRx5,95,,https://api.spotify.com/v1/tracks/73vIOb4Q7YN6HeJTbscRx5,https://genius.com/Genius-traducciones-al-espanol-oliver-tree-miss-you-traduccion-al-espanol-lyrics
Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,90,"It'll be fine by dusk light, I'm tellin' you, babyThese things eat at your bones and drive your young mind crazyBut when you place your head between my collar and jawI don't know much, but there's no weight at allAnd I'm damned if I do and I'm damned if I don't'Cause if I say I miss you, I know that you won'tBut I miss you in the mornings when I see the sunSomethin' in the orange tells me we're not doneTo you, I'm just a man; to me, you're all I amWhere the hell am I supposed to go?I poisoned myself again, somethin' in the orangeTells mе you're never comin' homеIf you leave today, I'll just stare at the wayThe orange touches all things aroundThe grass, trees, and dew, how I just hate youPlease turn those headlights aroundThere's orange dancin' in your eyes from bulb lightWhere the hell am I supposed to go?I poisoned myself again, somethin' in the orangeTells me you're never comin' homeThe grass, trees, and dew, how I just hate youPlease turn those headlights aroundPlease turn those headlights around",https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://genius.com/Zach-bryan-something-in-the-orange-z-es-version-lyrics
Lost Frequencies,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,89,,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://genius.com/Spotify-new-music-friday-7-30-21-annotated
Post Malone,I Like You (A Happier Song) (with Doja Cat),0prbvDtiY8FrZKEj8LF4Rs,68,,https://api.spotify.com/v1/tracks/0prbvDtiY8FrZKEj8LF4Rs,https://genius.com/Spotify-new-music-friday-06-03-22-annotated
Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,79,We've been burnin' both endsKeepin' the lights onLet's get some candles burningAnd some records turningAll the lights down lowTake it nice and slow,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://genius.com/Luke-combs-the-kind-of-love-we-make-lyrics
Ed Sheeran,2step (feat. Lil Baby),2UN0lp72LAusrXi8LLVomt,75,,https://api.spotify.com/v1/tracks/2UN0lp72LAusrXi8LLVomt,https://genius.com/Genius-hindi-translations-ed-sheeran-2step-remix-ft-lil-baby-hindi-translation-lyrics
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,96,But I ain't worried 'bout it right now (Right now)dancing on the clouds belowI don't know what you've been toldBut time is running out so spend it like it's goldI'm living like I'm nine-zerosGot no regrets even when I am broke (Yeah),https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://genius.com/Onerepublic-i-aint-worried-lyrics
Rihanna,Lift Me Up,35ovElsgyAtQwYPYnZJECg,89,,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://genius.com/Rihanna-lift-me-up-lyrics
Armani White,BILLIE EILISH.,27ZZdyTSQWI7Cug2d2PkqV,86,"Glock tucked, big t-shirt, Billie Eilishbig t-shirt, Billie EilishMile high, fuck a first-class, I'm the pilotBitch, I got everything I wanted and some extraFlexed out my Lexus, no backseats and no bestiesOpen hand, smack him in his mitt, bitch, I'm KimboBut she ain't know this Gen3 was in my motherfucking teeGlock tucked, big t-shirt, Billie EilishGlock tucked, big t-shirt, Billie Eilish",https://api.spotify.com/v1/tracks/27ZZdyTSQWI7Cug2d2PkqV,https://genius.com/Armani-white-billie-eilish-lyrics
Pharrell Williams,Down In Atlanta,5unjCay0kUjuej5ebn4nS4,82,,https://api.spotify.com/v1/tracks/5unjCay0kUjuej5ebn4nS4,https://genius.com/Spotify-new-music-friday-11-18-22-annotated
JVKE,golden hour,5odlY52u43F5BjByhxg7wg,92,"It was just two loversSittin' in the carlistening to BlondePink and orange skiesfeelin' super childish, no Donald GloverMissed call from my motherLike, ""Where you at tonight?""Got no alibiShe's got glitter for skinMy radiant beam in the nightI don't need no light to see youIt's your golden hourYou slow down timeIn your golden hour (Oh-oh-oh)burnin' through the summershe got solar powerMinutes feel like hoursShe knew she was the baddestCan you even imagine fallin' like I did?For the love of my lifeShe's got glow on her faceA glorious look in her eyesMy angel of lightI was all alone with the love of mShe's got glitter for skinMy radiant beam in the nightI don't need no light to see you[Instrumental Outro]",https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg,https://genius.com/Jvke-golden-hour-lyrics
Willy William,Trompeta,1tpl2fUDbrPAcbPufthvQe,58,,https://api.spotify.com/v1/tracks/1tpl2fUDbrPAcbPufthvQe,https://genius.com/Willy-william-trompeta-lyrics
Bailey Zimmerman,Rock and A Hard Place,4686eQ81DEswHa90bcdlC9,85,,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://genius.com/Bailey-zimmerman-rock-and-a-hard-place-lyrics
Elton John,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,85,"Hold me closer, tiny dancer",https://api.spotify.com/v1/tracks/72yP0DUlWPyH8P7IoxskwN,https://genius.com/Elton-john-and-britney-spears-hold-me-closer-lyrics
Måneskin,SUPERMODEL,63WuQOXohQIxOxIFA2K7bR,81,"Alone at parties in a deadly silhouetteShe loves the cocaine, but cocaine don't love her backWhen she's upset, she talks to Maury and takes deep breathsI used to know her, but she's got a new best friendYeah, she's a master, my complimentsWhen you're not looking, she's stealing your BasquiatLow-waisted pants on OnlyFans, I'll pay for thatShe'll never love you, you just look a bit like her dad",https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://genius.com/Maneskin-supermodel-lyrics
Rêve,CTRL + ALT + DEL,7ElC7VjUNl3oJ20Q5OpEh9,70,,https://api.spotify.com/v1/tracks/7ElC7VjUNl3oJ20Q5OpEh9,https://genius.com/Adelaine-morin-ctrl-alt-del-lyrics
Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,89,"GeorgiaWrap me up in all your—""I would never fall in love again until I found her""I was lost within the darkness, but then I found her""I would never fall in love again until I found her""I was lost within the darkness, but then I found her""I would never fall in love again until I found her""I was lost within the darkness, but then I found her",https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://genius.com/Stephen-sanchez-until-i-found-you-lyrics
Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,97,"I have this thing where I get older, but just never wiserMidnights become my afternoonsWhen my depression works the graveyard shiftall of the peopleI've ghosted stand there in the roomI should not be left to my own devicesThey come with prices and vicesI end up in crisis(Tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leaving'Cause you got tired of my scheming(For the last time)It's me, hiI'm the problem, it's meAt teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-heroSometimes, I feel like everybody is a sexy babyAnd I'm a monster on the hillToo big to hang out, slowly lurching toward your favorite cityPierced through the heart, but never killedDid you hear my covert narcissism I disguise as altruismLike some kind of congressman?(A tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leavingAnd life will lose all its meaning(For the last time)It's me, hiI'm the problem, it's me (I'm the problem, it's me)At teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-heroI have this dream my daughter-in-law kills me for the moneyShe thinks I left them in the willThe family gathers 'round and reads it and then someone screams out""She's laughing up at us from Hell""It's me, hiI'm the problem, it's meIt's me, hiI'm the problem, it's meIt's me, hiEverybody agrees, everybody agreesIt's me, hi (Hi)I'm the problem, it's me (I'm the problem, it's me)At teatime (Teatime), everybody agrees (Everybody agrees)I'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-hero",https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://genius.com/Taylor-swift-anti-hero-lyrics
Alexander Stewart,blame's on me,1veHwv1HPwzOvlhs5jPxeP,81,"Oh God, I'm sorry, I put you through hellYou tried to love me when I hated myself",https://api.spotify.com/v1/tracks/1veHwv1HPwzOvlhs5jPxeP,https://genius.com/Alexander-stewart-blames-on-me-lyrics
bbno$,pogo,404b6bC4GIxPsNssJmfC1f,64,,https://api.spotify.com/v1/tracks/404b6bC4GIxPsNssJmfC1f,https://genius.com/Spotify-new-music-friday-06-24-22-lyrics
